Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Malignant neoplasm of gallbladder	2/203	0.004372427586274313	0.0304568941923905	0	0	24.61318407960199	133.70956972525602	ALDH1A1;AXIN2
Papilloma	2/204	0.004414540647712871	0.0304568941923905	0	0	24.49009900990099	132.80617000141103	KIT;CLU
Embryonal Carcinoma	2/205	0.004456844061438374	0.0304568941923905	0	0	24.36822660098522	131.91287130282834	CXCL12;KIT
Saccadic smooth pursuit	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	CACNA1A
Dementia, familial Danish	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	CLU
Bone Sarcoma	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	KIT
Epilepsy, Absence, Atypical	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	CACNA1A
Grey eyelashes	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	KIT
Spindle Cell Neoplasm	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	KIT
Hemiplegic migraine	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	CACNA1A
Hemorrhagic cystitis	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	ALDH1A1
Neurologic Signs	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	CACNA1A
WHIM syndrome	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	CXCL12
White eyelashes	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	KIT
Juvenile Absence Epilepsy	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	CACNA1A
Aggressive Systemic Mastocytosis	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	KIT
Akinetic Petit Mal	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	CACNA1A
Endometrial Diseases	1/9	0.004491844107510829	0.0304568941923905	0	0	277.52777777777777	1500.1741678966396	CLU
Constipation	2/208	0.004584894802334956	0.03048723897227924	0	0	24.009708737864077	129.29199625590968	THRB;KIT
Trisomy	2/209	0.004627958010520711	0.03048723897227924	0	0	23.892512077294686	128.43753269506544	CXCL12;KIT
Neurofibromatosis 1	2/210	0.004671210764967091	0.03048723897227924	0	0	23.776442307692307	127.59240152438093	CXCL12;KIT
B-Cell Lymphomas	3/730	0.004794695210904991	0.03048723897227924	0	0	11.355669090194537	60.642056631836326	CXCL12;KIT;CLU
Leukemogenesis	3/730	0.004794695210904991	0.03048723897227924	0	0	11.355669090194537	60.642056631836326	CXCL12;KIT;CTSG
Lymphoid leukemia	2/213	0.004802104687560794	0.03048723897227924	0	0	23.43483412322275	125.11157191375128	CXCL12;CTSG
Carcinoid Tumor	2/213	0.004802104687560794	0.03048723897227924	0	0	23.43483412322275	125.11157191375128	KIT;CLU
