ID	Gene.Symbol	Gene.Title	log2(fold change)	-log10(Pvalue)
11727387_s_at	NPY1R	neuropeptide Y receptor Y1	2.323	6.424
11727553_a_at	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	3.3	10.536
11727554_s_at	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	3.432	10.709
11727597_at	PADI2	peptidyl arginine deiminase, type II	2.694	8.232
11727604_a_at	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	2.016	9.784
11727737_s_at	AKAP7	A kinase (PRKA) anchor protein 7	2.002	5.386
11727749_a_at	NR5A2	nuclear receptor subfamily 5, group A, member 2	2.085	10.955
11727751_a_at	NR5A2	nuclear receptor subfamily 5, group A, member 2	2.565	9.913
11727780_a_at	SCARA5	scavenger receptor class A, member 5	3.532	9.935
11727867_a_at	CLEC3B /// EXOSC7	C-type lectin domain family 3, member B /// exosome component 7	3.008	8.512
11727995_a_at	SPINK5	serine peptidase inhibitor, Kazal type 5	2.809	5.023
11728039_s_at	CCL8	chemokine (C-C motif) ligand 8	2.089	3.472
11728055_at	GHR	growth hormone receptor	2.593	9.424
11728186_at	SLC35D3	solute carrier family 35, member D3	-2.927	5.649
11728232_a_at	CLDN1	claudin 1	-4.12	12.647
11728234_a_at	CLDN1	claudin 1	-3.877	13.763
11728397_at	MT1M	metallothionein 1M	3.667	7.759
11728398_x_at	MT1M	metallothionein 1M	3.491	7.87
11728451_a_at	PCOLCE2	procollagen C-endopeptidase enhancer 2	2.493	4.668
11728476_a_at	CXCL3	chemokine (C-X-C motif) ligand 3	-3.211	7.861
11728477_at	CXCL3	chemokine (C-X-C motif) ligand 3	-2.984	7.37
11728500_a_at	IL1R2	interleukin 1 receptor, type II	2.401	5.199
11728528_a_at	CGREF1	cell growth regulator with EF-hand domain 1	-2.265	6.778
11728575_a_at	CWH43	cell wall biogenesis 43 C-terminal homolog	3.083	7.125
11728603_a_at	CLDN23	claudin 23	2.711	9.936
11728715_at	CXCL5	chemokine (C-X-C motif) ligand 5	-2.232	2.651
11728716_x_at	CXCL5	chemokine (C-X-C motif) ligand 5	-2.179	2.512
11728717_at	CXCL5	chemokine (C-X-C motif) ligand 5	-2.45	2.701
11728726_a_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	3.331	6.437
11728727_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	2.464	4.47
11728731_s_at	DSCC1	DNA replication and sister chromatid cohesion 1	-2.076	7.837
11728746_a_at	CLCA1	chloride channel accessory 1	3.759	3.726
11728771_a_at	CLCA4	chloride channel accessory 4	4.913	6.906
11728821_a_at	HEPACAM2	HEPACAM family member 2	2.908	5.863
11728840_at	TMCC3	transmembrane and coiled-coil domain family 3	2.106	7.36
11728984_a_at	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	-2.601	10.337
11728985_s_at	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	-2.225	10.565
11728986_x_at	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	-2.366	11.269
11728998_x_at	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	2.102	12.022
11729110_s_at	ADAMDEC1	ADAM-like, decysin 1	2.9	8.101
11729111_x_at	ADAMDEC1	ADAM-like, decysin 1	3.049	7.576
11729214_a_at	SLC26A3	solute carrier family 26 (anion exchanger), member 3	3.234	7.527
11729417_at	KRT24	keratin 24, type I	2.046	4.581
11729445_at	FAM150B	family with sequence similarity 150, member B	2.146	6.949
11729538_at	LYPD8	LY6/PLAUR domain containing 8	3.233	7.062
11729582_s_at	CA1	carbonic anhydrase I	5.329	7.75
11729583_x_at	CA1	carbonic anhydrase I	5.399	7.507
11729750_a_at	LPAR1	lysophosphatidic acid receptor 1	2.468	11.245
11729831_a_at	CLDN8	claudin 8	4.237	8.259
11729832_s_at	CLDN8	claudin 8	4.045	8.509
11729935_a_at	PITX2	paired-like homeodomain 2	-2.17	4.1
11729989_a_at	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	2.004	12.799
11729998_a_at	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	3.055	6.474
11730073_at	CNTN3	contactin 3 (plasmacytoma associated)	2.47	7.653
11730091_at	BEST4	bestrophin 4	3.783	10.781
11730102_at	SCN9A	sodium channel, voltage gated, type IX alpha subunit	2.01	9.556
11730103_at	SCN9A	sodium channel, voltage gated, type IX alpha subunit	2.168	9.767
11730340_x_at	MSX2	msh homeobox 2	-2.128	5.182
11730365_at	AMPD1	adenosine monophosphate deaminase 1	2.253	10.213
11730384_at	GREM2	gremlin 2, DAN family BMP antagonist	2.478	8.41
11730385_at	GREM2	gremlin 2, DAN family BMP antagonist	2.858	8.592
11730764_a_at	CD177	CD177 molecule	2.374	6.408
11730765_at	CD177	CD177 molecule	4.002	6.965
11730779_at	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	3.526	8.069
11730780_x_at	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	3.411	8.066
11730867_at	MEP1A	meprin A, alpha (PABA peptide hydrolase)	2.515	5.069
